[2026-04-06 21:53:16] INFO     | Detector | Logger initialized — writing to E:\cybr sec for iot i3 proj\iot-security-project\backend\..\logs\badbox_defense.log
[2026-04-06 21:53:16] INFO     | NetworkMonitor | Logger initialized — writing to E:\cybr sec for iot i3 proj\iot-security-project\backend\..\logs\badbox_defense.log
[2026-04-06 21:53:16] INFO     | FlaskApp | Logger initialized — writing to E:\cybr sec for iot i3 proj\iot-security-project\backend\..\logs\badbox_defense.log
[2026-04-06 21:53:17] INFO     | FlaskApp | Connected to MongoDB
[2026-04-06 21:53:17] INFO     | FlaskApp | Pre-training ML model...
[2026-04-06 21:53:17] WARNING  | Detector | No saved model found — training new model
[2026-04-06 21:53:17] INFO     | Detector | Generating training data...
[2026-04-06 21:53:17] INFO     | Detector | Training samples: 800 normal + 200 malicious = 1000 total
[2026-04-06 21:53:17] INFO     | Detector | Model saved to E:\cybr sec for iot i3 proj\iot-security-project\backend\models\isolation_forest.pkl
[2026-04-06 21:53:17] INFO     | FlaskApp | Starting BadBox Defense API on port 5000
[2026-04-06 22:00:48] INFO     | NetworkMonitor | Simulated 25 packets
[2026-04-06 22:00:48] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:48] WARNING  | Detector | Prediction: Suspicious (score=43.51)
[2026-04-06 22:00:48] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:48] WARNING  | Detector | Prediction: Suspicious (score=40.99)
[2026-04-06 22:00:48] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:48] WARNING  | Detector | Prediction: Suspicious (score=42.69)
[2026-04-06 22:00:48] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:48] WARNING  | Detector | Prediction: Suspicious (score=42.47)
[2026-04-06 22:00:48] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:48] WARNING  | Detector | Prediction: Suspicious (score=44.99)
[2026-04-06 22:00:48] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:48] WARNING  | Detector | Prediction: Malicious (score=53.96)
[2026-04-06 22:00:48] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:48] WARNING  | Detector | Prediction: Suspicious (score=43.05)
[2026-04-06 22:00:49] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:49] WARNING  | Detector | Prediction: Malicious (score=59.33)
[2026-04-06 22:00:49] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:49] WARNING  | Detector | Prediction: Suspicious (score=44.71)
